"location","title","desc","link","date"
"seturan","Rekomendasi 5 Ayam Bakar Enak dan Murah di Jogja","Buat kalian pecinta kuliner yang berada di jogja dan ingin sekali mencoba 
ayam bakar, boleh mencoba sebentar ayam taliwang papin.","https://jogja.tribunnews.com/2021/11/01/rekomendasi-5-ayam-bakar-enak-dan-murah-di-jogja","Nov 2021"
"seturan","7 Tempat Nongkrong di Jogja yang Wajib Dikunjungi, Lokasinya Dekat Malioboro dan UGM","Ini dia tempat-tempat nongki epic nan hits tentunya dengan harga yang 
bersahabat di Jogja.","https://jogja.tribunnews.com/2021/10/22/7-tempat-nongkrong-di-jogja-yang-wajib-dikunjungi-lokasinya-dekat-malioboro-dan-ugm","2 Okt 2021"
"seturan","15 Mie Ayam Enak di Yogyakarta, Favorit Warga Lokal dan Wisatawan - Kompas.com","Berikut 15 rekomendasi warung mie ayam enak di Yogyakarta yang wajib 
dicoba. Beberapa di antaranya cukup terkenal. Halaman all.","https://www.kompas.com/food/read/2021/10/15/121200975/15-mie-ayam-enak-di-yogyakarta-favorit-warga-lokal-dan-wisatawan?page=all","5 Okt 2021"
"seturan","Viral Kuliner Sambal Belut Pak Wardi di Sleman Yogyakarta","Kuliner Sambal Belut Pak Wardi yang berada di Caturtunggal, Depok, Sleman 
Yogyakarta ini viral. Seperti apa sensasinya?","https://bacajogja.id/2021/10/04/viral-kuliner-sambal-belut-pak-wardi-di-sleman-yogyakarta/","Okt 2021"
"seturan","15 Cafe di Sleman Yogyakarta yang Cocok untuk Kerja - Kompas.com","Berikut 15 rekomendasi kafe di Sleman Yogyakarta yang cocok untuk bekerja 
atau mengerjakan tugas. Suasananya nyaman dan tenang. Halaman all.","https://www.kompas.com/food/read/2021/10/01/180400575/15-cafe-di-sleman-yogyakarta-yang-cocok-untuk-kerja?page=all","Okt 2021"
"seturan","15 Cafe Murah di Yogyakarta, Harga Mulai Rp 8.000 - Kompas.com","Berikut 15 rekomendasi kafe murah di Yogyakarta yang cocok untuk akhir 
bulan. Pilihannya menunya beragam dan harganya pun terjangkau. Halaman all.","https://www.kompas.com/food/read/2021/09/26/110600075/15-cafe-murah-di-yogyakarta-harga-mulai-rp-8.000?page=all","6 Sep 2021"
"seturan","15 Cafe Instagramble di Yogyakarta, Bikin Betah Nongkrong - Kompas.com","Berikut 15 kafe instagramble di Yogyakarta yang cocok dikunjungi untuk 
akhir pekan. Cocok untuk bersantai atau foto OOTD. Halaman all.","https://www.kompas.com/food/read/2021/09/18/110200375/15-cafe-instagramble-di-yogyakarta-bikin-betah-nongkrong?page=all","8 Sep 2021"
"seturan","7 Restoran Seafood di Yogyakarta, Terkenal untuk Wisata Kuliner - Kompas.com","KOMPAS.com - Saat berkunjung ke Yogyakarta, jangan lupa untuk menyempatkan 
menikmati aneka kuliner yang ada di sana. Salah satunya, aneka masakan 
hasil laut...","https://www.kompas.com/food/read/2021/09/15/201100175/7-restoran-seafood-di-yogyakarta-terkenal-untuk-wisata-kuliner?page=all","5 Sep 2021"
"seturan","Nikmatnya Cicipi Lontong Kikil Pak Yanto yang Viral di Yogyakarta","Media sosial kembali dibuat heboh dengan kehadiran kuliner serba jeroan di 
Seturan, Yogyakarta. Tempat makan milik pak Yanto itu terkenal nikmat 
setelah...","https://lifestyle.sindonews.com/read/518986/185/nikmatnya-cicipi-lontong-kikil-pak-yanto-yang-viral-di-yogyakarta-1629691714","3 Agu 2021"
"seturan","Lezatnya Lontong Kikil Pak Yanto yang Viral, Belum Buka Sudah Ramai Antrean","YOGYAKARTA memiliki beragam aneka kuliner. Kali ini ada satu yang khas dan 
viral di media sosial. Ya, lontong kikil warung pak Yanto.","https://travel.okezone.com/read/2021/08/23/301/2459622/lezatnya-lontong-kikil-pak-yanto-yang-viral-belum-buka-sudah-ramai-antrean","3 Agu 2021"
"seturan","Viral Kuliner Lontong Kikil Pak Yanto di Yogyakarta, Belum Buka Sudah Antre","Travelling ke Daerah Istimewa Yogyakarta belum lengkap tanpa wisata 
kuliner. Sudah menjadi hal umum jika Yogyakarta, memiliki kuliner yang 
lezat.","https://www.inews.id/travel/kuliner/viral-kuliner-lontong-kikil-pak-yanto-di-yogyakarta-belum-buka-sudah-antre","3 Agu 2021"
"seturan","Baru Dibuka Seminggu, Antrean Lontong Kikil Pak Yanto Mengul","Sleman, IDN Times - Penikmat kuliner Jogja daging sapi di Sleman kini bisa 
mencoba Lontong Kikil Pak Yanto. Baru sekitar sepekan dibuka, warung yang 
berada...","https://jogja.idntimes.com/food/dining-guide/febriana-sintasari/baru-dibuka-seminggu-antrean-lontong-kikil-pak-yanto-mengular","2 Agu 2021"
