date,Date,Time,tweet,link,photos
2022-11-27 09:38:06,2022-Nov-27,09:38:06,09.38 wib lalin sp pelemgurih arah timur dan utara terpantau lancar  ,https://twitter.com/ATCS_DISHUB_DIY/status/1596694825650515968,"['https://pbs.twimg.com/media/FiiZZM5aMAESVS2.jpg', 'https://pbs.twimg.com/media/FiiZZNSaAAEYJ8M.jpg']"
2022-11-27 09:37:22,2022-Nov-27,09:37:22,09.37 wib lalin sp patran arah timur terpantau lancar  ,https://twitter.com/ATCS_DISHUB_DIY/status/1596694642829176832,['https://pbs.twimg.com/media/FiiZLU7akAEl6tJ.jpg']
2022-11-27 09:36:36,2022-Nov-27,09:36:36,09.36 wib lalin sp demangan arah timur ramai lancar arah selatan dan utara terpantau ramai lancar  ,https://twitter.com/ATCS_DISHUB_DIY/status/1596694448502890496,"['https://pbs.twimg.com/media/FiiZAtnaYAElTiL.jpg', 'https://pbs.twimg.com/media/FiiZBwmaEAA9-mc.jpg', 'https://pbs.twimg.com/media/FiiZBxCacAIwNB1.jpg']"
2022-11-27 09:35:35,2022-Nov-27,09:35:35,09.35 wib kondisi lalin sp maguwo arah barat terpantau lancar  ,https://twitter.com/ATCS_DISHUB_DIY/status/1596694191882776577,['https://pbs.twimg.com/media/FiiY1k2aEAAOc1c.jpg']
2022-11-27 09:35:07,2022-Nov-27,09:35:07,09.35 wib lalin sp blok o arah timur dan utara ramai lancar arah selatan terpantau lancar  ,https://twitter.com/ATCS_DISHUB_DIY/status/1596694076136775680,"['https://pbs.twimg.com/media/FiiYuItaAAIRlOg.jpg', 'https://pbs.twimg.com/media/FiiYuJPacAEUtm0.jpg', 'https://pbs.twimg.com/media/FiiYuJraMAEnJi9.jpg']"
2022-11-27 09:34:27,2022-Nov-27,09:34:27,09.34 wib lalin sp tugu terpantau lancar dari semua arah  ,https://twitter.com/ATCS_DISHUB_DIY/status/1596693907383136257,"['https://pbs.twimg.com/media/FiiYkaRacAEfBKB.jpg', 'https://pbs.twimg.com/media/FiiYkaQaEAAXM-G.jpg', 'https://pbs.twimg.com/media/FiiYkaTaYAAZ0z3.jpg']"
2022-11-27 07:44:13,2022-Nov-27,07:44:13,07.44 wib lalin sp gamping terpantau lancar dari semua arah  ,https://twitter.com/ATCS_DISHUB_DIY/status/1596666169054101506,"['https://pbs.twimg.com/media/Fih_VXiacAAcTIl.jpg', 'https://pbs.twimg.com/media/Fih_V8IaMAAFKZb.jpg', 'https://pbs.twimg.com/media/Fih_Wl3agAA1AUT.jpg']"
2022-11-27 07:43:40,2022-Nov-27,07:43:40,07.43 WIB. Arus kendaraan simpang Maguwo terpantau lancar.  ,https://twitter.com/ATCS_DISHUB_DIY/status/1596666030189076480,"['https://pbs.twimg.com/media/Fih_QelacAYEa14.jpg', 'https://pbs.twimg.com/media/Fih_QekagAA7Xjq.jpg', 'https://pbs.twimg.com/media/Fih_QfaaEAAGRvw.jpg']"
2022-11-27 07:43:31,2022-Nov-27,07:43:31,07.43 wib llain sp blok o terpantau lancar dari semua arah  ,https://twitter.com/ATCS_DISHUB_DIY/status/1596665992616513542,"['https://pbs.twimg.com/media/Fih_MtVaUAAN_Gb.jpg', 'https://pbs.twimg.com/media/Fih_MuQaUAA9RLl.jpg', 'https://pbs.twimg.com/media/Fih_Mu8aAAAqk2C.jpg']"
2022-11-27 07:43:02,2022-Nov-27,07:43:02,07.43 wib arus lalin sp maguwo arah barat terpantau lancar  ,https://twitter.com/ATCS_DISHUB_DIY/status/1596665870268628993,['https://pbs.twimg.com/media/Fih_DsZaYAAsC-x.jpg']
2022-11-27 07:42:34,2022-Nov-27,07:42:34,07.42 wib lalin sp bandara arah timur terpantau lancar  ,https://twitter.com/ATCS_DISHUB_DIY/status/1596665752740057089,['https://pbs.twimg.com/media/Fih--HLacAIsc8u.jpg']
2022-11-27 07:42:01,2022-Nov-27,07:42:01,07.42 wib lalin sp kidsfun arah timur dan barat terpantau lancar  ,https://twitter.com/ATCS_DISHUB_DIY/status/1596665615460470785,"['https://pbs.twimg.com/media/Fih-zItaYAEHvxw.jpg', 'https://pbs.twimg.com/media/Fih-zqeaMAAVGzs.jpg']"
2022-11-27 07:41:25,2022-Nov-27,07:41:25,07.41 wib kondisi lalin sp jatikencana arah timur dan barat terpantau lancar  ,https://twitter.com/ATCS_DISHUB_DIY/status/1596665462183858177,"['https://pbs.twimg.com/media/Fih-scWagAEHbMo.jpg', 'https://pbs.twimg.com/media/Fih-scwakAENI4y.jpg']"
2022-11-27 07:41:15,2022-Nov-27,07:41:15,07.41 WIB. Kondisi lalu lintas simpang Seturan terpantau Lancar dari semua arah.  ,https://twitter.com/ATCS_DISHUB_DIY/status/1596665420094001153,"['https://pbs.twimg.com/media/Fih-sZjagAItj2B.jpg', 'https://pbs.twimg.com/media/Fih-sZiaAAMYFcd.jpg', 'https://pbs.twimg.com/media/Fih-sZlaUAAbUnG.jpg', 'https://pbs.twimg.com/media/Fih-sZjaEAEC0z5.jpg']"
2022-11-27 07:40:36,2022-Nov-27,07:40:36,07.40 wib lalin sp tugu terpantau lancar dari semua arah  ,https://twitter.com/ATCS_DISHUB_DIY/status/1596665257472458753,"['https://pbs.twimg.com/media/Fih-a7GaMAQfTqG.jpg', 'https://pbs.twimg.com/media/Fih-a7EakAE_Gnt.jpg', 'https://pbs.twimg.com/media/Fih-a7GaEAAcw19.jpg']"
