date,Date,Time,tweet,link,photos
2022-11-23 15:49:45,2022-Nov-23,15:49:45,15.49 WIB. Kondisi lalu lintas simpang Maguwo terpantau Ramai Lancar.  ,https://twitter.com/ATCS_DISHUB_DIY/status/1595338804478750721,"['https://pbs.twimg.com/media/FiPH1z5aUAA1cJI.jpg', 'https://pbs.twimg.com/media/FiPH1z7akAAn995.jpg', 'https://pbs.twimg.com/media/FiPH1z4akAIPbty.jpg']"
2022-11-23 15:39:45,2022-Nov-23,15:39:45,"15.40 WIB. Kondisi lalu lintas simpang Tugu arus kendaraan dari arah Timur dan Utara terpantau Ramai, dari arah Barat terpantau Lancar.  ",https://twitter.com/ATCS_DISHUB_DIY/status/1595336289163018240,"['https://pbs.twimg.com/media/FiPFolcaYAAV2E9.jpg', 'https://pbs.twimg.com/media/FiPFol4aEAEwfhy.jpg', 'https://pbs.twimg.com/media/FiPFolxaUAEcATz.jpg']"
2022-11-23 15:34:14,2022-Nov-23,15:34:14,15.33 WIB. Kondisi lalu lintas simpang Condongcatur terpantau Ramai kendaraan dari semua arah.  ,https://twitter.com/ATCS_DISHUB_DIY/status/1595334897560064001,"['https://pbs.twimg.com/media/FiPEZ_DaEAEG9L3.jpg', 'https://pbs.twimg.com/media/FiPEaARaMAAQjYo.jpg', 'https://pbs.twimg.com/media/FiPEaAjakAIebKk.jpg', 'https://pbs.twimg.com/media/FiPEaAkagAAByNh.jpg']"
2022-11-23 15:30:14,2022-Nov-23,15:30:14,"15.30 WIB. Arus lalu lintas simpang Kentungan dari arah Utara dan Selatan terpantau Ramai, dari arah Timur dan Barat terpantau Lancar.  ",https://twitter.com/ATCS_DISHUB_DIY/status/1595333892499992577,"['https://pbs.twimg.com/media/FiPDqM_aEAEQRdI.jpg', 'https://pbs.twimg.com/media/FiPDqNEakAAmbV1.jpg', 'https://pbs.twimg.com/media/FiPDqNPaUAA9aH7.jpg', 'https://pbs.twimg.com/media/FiPDqNDaYAAyNCT.jpg']"
2022-11-23 15:24:20,2022-Nov-23,15:24:20,15.24 WIB. Kondisi lalu lintas simpang Seturan arus kendaraan dari semua arah terpantau Ramai.  ,https://twitter.com/ATCS_DISHUB_DIY/status/1595332408978862080,"['https://pbs.twimg.com/media/FiPCUn5aYAAT9CE.jpg', 'https://pbs.twimg.com/media/FiPCUoDaEAAlKiH.jpg', 'https://pbs.twimg.com/media/FiPCUn4aYAIEpUg.jpg', 'https://pbs.twimg.com/media/FiPCUn4aYAAy7ru.jpg']"
2022-11-23 08:21:06,2022-Nov-23,08:21:06,08.20WIB Arus lalu lintas simpang Seturan lancar  ,https://twitter.com/ATCS_DISHUB_DIY/status/1595225897703215104,"['https://pbs.twimg.com/media/FiNhcHmaMAE-AIP.jpg', 'https://pbs.twimg.com/media/FiNhcIeaYAApre-.jpg', 'https://pbs.twimg.com/media/FiNhcJQagAAnwe4.jpg', 'https://pbs.twimg.com/media/FiNhcJ4aUAAnidH.jpg']"
2022-11-23 08:20:42,2022-Nov-23,08:20:42,08.20WIB Arus lalu lintas simpang Condongcatur lancar  ,https://twitter.com/ATCS_DISHUB_DIY/status/1595225798184939520,"['https://pbs.twimg.com/media/FiNhU9xagAE62fi.jpg', 'https://pbs.twimg.com/media/FiNhV5TaEAABbR_.jpg', 'https://pbs.twimg.com/media/FiNhV6CaYAACGsS.jpg']"
2022-11-23 07:43:01,2022-Nov-23,07:43:01,"07.42 WIB. Situasi lalin di Simpang Kentungan terpantau LANCAR dari semua arah/kaki,patuhi rambu lalu lintas dan marka jalan  ",https://twitter.com/ATCS_DISHUB_DIY/status/1595216313336868864,"['https://pbs.twimg.com/media/FiNYiq5aAAAzt-S.jpg', 'https://pbs.twimg.com/media/FiNYiq7aMAEmMy7.jpg', 'https://pbs.twimg.com/media/FiNYiq4agAUNYdx.jpg']"
2022-11-23 07:19:09,2022-Nov-23,07:19:09,07.18WIB Arus lalu lintas simpang MM UGM terpantau ramai dari kaki selatan dan utara  ,https://twitter.com/ATCS_DISHUB_DIY/status/1595210307345215488,"['https://pbs.twimg.com/media/FiNTOniakAAp5mG.jpg', 'https://pbs.twimg.com/media/FiNTOoJakAAkPRx.jpg', 'https://pbs.twimg.com/media/FiNTOo2akAIjEl-.jpg', 'https://pbs.twimg.com/media/FiNTOpgaYAATC6b.jpg']"
2022-11-23 07:17:15,2022-Nov-23,07:17:15,07.16WIB Arus lalu lintas simpang Tugu ramai lancar  ,https://twitter.com/ATCS_DISHUB_DIY/status/1595209831274930176,"['https://pbs.twimg.com/media/FiNS0FJaMAAdO7_.jpg', 'https://pbs.twimg.com/media/FiNS0HYacAAGZLi.jpg', 'https://pbs.twimg.com/media/FiNS0HLaUAAgim9.jpg']"
2022-11-23 07:14:32,2022-Nov-23,07:14:32,"07.13WIB Arus lalu lintas simpang Bandara pagi ini terpantau ramai, dari kaki timur dilakukan rekayasa lalu lintas. Dihimbau untuk selalu berhati-hati dan patuhi rambu lalu lintas.  ",https://twitter.com/ATCS_DISHUB_DIY/status/1595209143438409728,"['https://pbs.twimg.com/media/FiNR7cRaAAAi-9Z.jpg', 'https://pbs.twimg.com/media/FiNR7cYacAAVFEO.jpg']"
