date,Date,Time,tweet,link,photos
2022-11-16 17:16:03,2022-Nov-16,17:16:03,17.15WIB Arus lalu lintas simpang Blok O terpantau ramai  ,https://twitter.com/ATCS_DISHUB_DIY/status/1592823806661636096,"['https://pbs.twimg.com/media/FhrYus5akAA8rQb.jpg', 'https://pbs.twimg.com/media/FhrYuteakAAfqjv.jpg', 'https://pbs.twimg.com/media/FhrYuuPaMAAscuU.jpg', 'https://pbs.twimg.com/media/FhrYuusaAAE7yWz.jpg']"
2022-11-16 17:12:16,2022-Nov-16,17:12:16,17.11WIB Arus lalu lintas simpang Gramedia ramai  ,https://twitter.com/ATCS_DISHUB_DIY/status/1592822856190406660,"['https://pbs.twimg.com/media/FhrX4ataMAABxXg.jpg', 'https://pbs.twimg.com/media/FhrX4bLaEAATYbf.jpg']"
2022-11-16 17:11:51,2022-Nov-16,17:11:51,17.11WIB Arus lalu lintas simpang Demangan padat  ,https://twitter.com/ATCS_DISHUB_DIY/status/1592822749944508417,"['https://pbs.twimg.com/media/FhrXyBiaUAIQvwn.jpg', 'https://pbs.twimg.com/media/FhrXyCKaMAE-Fjl.jpg', 'https://pbs.twimg.com/media/FhrXyC0akAEkjpf.jpg']"
2022-11-16 17:11:19,2022-Nov-16,17:11:19,17.11 WIB. Kondisi lalu lintas simpang Blok O terpantau Ramai Lancar  ,https://twitter.com/ATCS_DISHUB_DIY/status/1592822615034691585,"['https://pbs.twimg.com/media/FhrXkg6aYAEr9Hz.jpg', 'https://pbs.twimg.com/media/FhrXkgzacAM20N5.jpg', 'https://pbs.twimg.com/media/FhrXkgxaYAAX1ct.jpg', 'https://pbs.twimg.com/media/FhrXkg9agAEKK7v.jpg']"
2022-11-16 17:09:59,2022-Nov-16,17:09:59,17.09WIB Arus lalu lintas simpang Giwangan ramai  ,https://twitter.com/ATCS_DISHUB_DIY/status/1592822278605393920,"['https://pbs.twimg.com/media/FhrXUe-acAUBdH_.jpg', 'https://pbs.twimg.com/media/FhrXUfrakAEQrP1.jpg', 'https://pbs.twimg.com/media/FhrXUgLaAAE79V7.jpg', 'https://pbs.twimg.com/media/FhrXUg9aEAENOpT.jpg']"
2022-11-16 17:09:23,2022-Nov-16,17:09:23,17.08WIB Arus lalu lintas simpang Tugu ramai dari semua arah  ,https://twitter.com/ATCS_DISHUB_DIY/status/1592822130995261442,"['https://pbs.twimg.com/media/FhrXM1SacAA-cxl.jpg', 'https://pbs.twimg.com/media/FhrXM1gaEAAZftw.jpg', 'https://pbs.twimg.com/media/FhrXM1faEAAfmcL.jpg']"
2022-11-16 15:39:03,2022-Nov-16,15:39:03,15.38 WIB. Kondisi lalu lintas simpang Tugu arus kendaraan terpantau Ramai dari semua arah.  ,https://twitter.com/ATCS_DISHUB_DIY/status/1592799394155630593,"['https://pbs.twimg.com/media/FhrCUv_aEAAkQNw.jpg', 'https://pbs.twimg.com/media/FhrCUwFaAAESDjf.jpg', 'https://pbs.twimg.com/media/FhrCUv1agAA6TU3.jpg']"
2022-11-16 14:58:03,2022-Nov-16,14:58:03,"14.57 WIB. Kondisi simpang Bandara Adisutjipto dari arah Timur terpantau padat kendaraan dikarenakan ada pekerjaan jalan, dari arah Barat terpantau Ramai Lancar, dan dari arah Selatan terpantau lancar.  ",https://twitter.com/ATCS_DISHUB_DIY/status/1592789077199585280,"['https://pbs.twimg.com/media/Fhq43hvaUAAtJIP.jpg', 'https://pbs.twimg.com/media/Fhq43huaAAERVLj.jpg', 'https://pbs.twimg.com/media/Fhq43hjaMAEQJX2.jpg']"
2022-11-16 14:53:19,2022-Nov-16,14:53:19,"2.53 WIB. Kondisi lalu lintas Simpang Maguwo dari arah Barat terpantau Ramai, dan dari arah Utara, Timur terpantau lancar.  ",https://twitter.com/ATCS_DISHUB_DIY/status/1592787887686578176,"['https://pbs.twimg.com/media/Fhq34H_agAALQW4.jpg', 'https://pbs.twimg.com/media/Fhq34H9aYAIOYN-.jpg', 'https://pbs.twimg.com/media/Fhq34IDaYAI1dfZ.jpg']"
