date,Date,Time,tweet,link,photos
2022-11-17 19:21:32,2022-Nov-17,19:21:32,19.21 wib arus lalin sp demangan arah timur terpantau ramai  ,https://twitter.com/ATCS_DISHUB_DIY/status/1593217773446254592,['https://pbs.twimg.com/media/Fhw_DE-aEAEvtbC.jpg']
2022-11-17 19:20:53,2022-Nov-17,19:20:53,19.20 wib lalin sp blok o arah selatan lancar arah utara terpantau ramai lancar  ,https://twitter.com/ATCS_DISHUB_DIY/status/1593217612116553728,"['https://pbs.twimg.com/media/Fhw-3uuaYAMnY7K.jpg', 'https://pbs.twimg.com/media/Fhw-3vOagAEFxqW.jpg']"
2022-11-17 19:19:43,2022-Nov-17,19:19:43,19.19 wib lalin sp tugu arah timur dan barat terpantau ramai lancar  ,https://twitter.com/ATCS_DISHUB_DIY/status/1593217314811707394,"['https://pbs.twimg.com/media/Fhw-mnPagAIzvLA.jpg', 'https://pbs.twimg.com/media/Fhw-n5saEAMSKV-.jpg']"
2022-11-17 16:25:18,2022-Nov-17,16:25:18,"16.24 WIB, Kondisi lalu lintas simpang Jati Kencana terpantau Ramai Lancar.  ",https://twitter.com/ATCS_DISHUB_DIY/status/1593173424398307329,"['https://pbs.twimg.com/media/FhwWshJagAU7tS5.jpg', 'https://pbs.twimg.com/media/FhwWshJaEAEDgPg.jpg', 'https://pbs.twimg.com/media/FhwWshHaMAE3m62.jpg']"
2022-11-17 16:23:45,2022-Nov-17,16:23:45,16.23 wib lalin sp blok o arah selatan lancar arah utara terpantau ramai lancar  ,https://twitter.com/ATCS_DISHUB_DIY/status/1593173034697134080,"['https://pbs.twimg.com/media/FhwWVWBaAAAgyrB.jpg', 'https://pbs.twimg.com/media/FhwWVWZaEAEJo-y.jpg']"
2022-11-17 16:22:19,2022-Nov-17,16:22:19,16.22 wib kondisi lalin sp giwangan arah timur dan barat ramai lancar arah utara terpantau ramai  ,https://twitter.com/ATCS_DISHUB_DIY/status/1593172672267321344,"['https://pbs.twimg.com/media/FhwV-ldaMAI70xS.jpg', 'https://pbs.twimg.com/media/FhwV_MgaUAEK0ES.jpg', 'https://pbs.twimg.com/media/FhwV_zTagAA-KdK.jpg']"
2022-11-17 16:20:54,2022-Nov-17,16:20:54,16.21 wib lalin sp gramedia arah timur dan barat terpantau ramai  ,https://twitter.com/ATCS_DISHUB_DIY/status/1593172315260727302,"['https://pbs.twimg.com/media/FhwVtGkaMAIxa4S.jpg', 'https://pbs.twimg.com/media/FhwVtHHaYAA8qlY.jpg']"
2022-11-17 16:20:28,2022-Nov-17,16:20:28,16.20 wib arus lalin sp demangan terpantau ramai dari semua arah  ,https://twitter.com/ATCS_DISHUB_DIY/status/1593172208519884800,"['https://pbs.twimg.com/media/FhwVnnTagAA6UZ_.jpg', 'https://pbs.twimg.com/media/FhwVnn0aMAIXg3Q.jpg', 'https://pbs.twimg.com/media/FhwVnobaMAAh2-7.jpg']"
2022-11-17 16:19:34,2022-Nov-17,16:19:34,16.19 wib lalin sp tugu arah timur dan utara ramai arah barat terpantau ramai lancar  ,https://twitter.com/ATCS_DISHUB_DIY/status/1593171980895019009,"['https://pbs.twimg.com/media/FhwVYe2akAAaBru.jpg', 'https://pbs.twimg.com/media/FhwVZV9aYAAcLv-.jpg', 'https://pbs.twimg.com/media/FhwVZWjagAAJNBH.jpg']"
2022-11-17 12:49:28,2022-Nov-17,12:49:28,"12.48 WIB. Situasi lalu lintas di Simpang Condongcatur dari arah utara, barat dan timur terpantau ramai.  ",https://twitter.com/ATCS_DISHUB_DIY/status/1593119108551565315,"['https://pbs.twimg.com/media/FhvlYWEaUAEAlFy.jpg', 'https://pbs.twimg.com/media/FhvlYV8aEAEdC5_.jpg', 'https://pbs.twimg.com/media/FhvlYWIaEAAlJV5.jpg', 'https://pbs.twimg.com/media/FhvlYWTaEAERvWb.jpg']"
