date,Date,Time,tweet,link,photos
2022-11-19 20:55:06,2022-Nov-19,20:55:06,20.54WIB Arus lalu lintas simpang Bandara malam ini dari kaki barat ramai  ,https://twitter.com/ATCS_DISHUB_DIY/status/1593966096931258368,"['https://pbs.twimg.com/media/Fh7nrJPaYAAItIn.jpg', 'https://pbs.twimg.com/media/Fh7nrJGaAAAIAF3.jpg']"
2022-11-19 20:01:07,2022-Nov-19,20:01:07,"19.58 WIB Arus Lalu Lintas di Simpang Bandara terpantau ramai di karenakan adanya perbaikan jalan di arah timur dan di lakukan rekayasa lalu lintas dimohon untuk pengendara mematuhi rambu, berhati hati dan waspada.  ",https://twitter.com/ATCS_DISHUB_DIY/status/1593952512767557632,"['https://pbs.twimg.com/media/Fh7bW5ZaYAYHU9_.jpg', 'https://pbs.twimg.com/media/Fh7bW5aaAAEPwti.jpg', 'https://pbs.twimg.com/media/Fh7bW5TaEAAcZZb.jpg']"
2022-11-19 19:59:09,2022-Nov-19,19:59:09,19.58WIB Arus lalu lintas simpang Kentungan lancar  ,https://twitter.com/ATCS_DISHUB_DIY/status/1593952014752698369,"['https://pbs.twimg.com/media/Fh7a2M6aEAE0p09.jpg', 'https://pbs.twimg.com/media/Fh7a2NsaYAIu5e5.jpg', 'https://pbs.twimg.com/media/Fh7a2OxacAAspf0.jpg', 'https://pbs.twimg.com/media/Fh7a2PhaMAAWr-5.jpg']"
2022-11-19 19:58:43,2022-Nov-19,19:58:43,19.58WIB Arus lalu lintas simpang Seturan ramai  ,https://twitter.com/ATCS_DISHUB_DIY/status/1593951907458215936,"['https://pbs.twimg.com/media/Fh7avhGacAEq057.jpg', 'https://pbs.twimg.com/media/Fh7avh2aUAANUSc.jpg', 'https://pbs.twimg.com/media/Fh7avioaUAA5V2U.jpg', 'https://pbs.twimg.com/media/Fh7avjiakAAm3GJ.jpg']"
2022-11-19 19:58:15,2022-Nov-19,19:58:15,19.57WIB Arus lalu lintas simpang Condongcatur ramai lancar  ,https://twitter.com/ATCS_DISHUB_DIY/status/1593951791263408128,"['https://pbs.twimg.com/media/Fh7aprOakAI1Dpq.jpg', 'https://pbs.twimg.com/media/Fh7aprRakAEY6dn.jpg', 'https://pbs.twimg.com/media/Fh7aprZaUAAziMb.jpg']"
2022-11-19 16:59:24,2022-Nov-19,16:59:24,16.59WIB Arus lalu lintas simpang Condongcatur ramai dari semua arah  ,https://twitter.com/ATCS_DISHUB_DIY/status/1593906778592669698,"['https://pbs.twimg.com/media/Fh6xrGFaYAAyNhs.jpg', 'https://pbs.twimg.com/media/Fh6xr2EagAAGNY5.jpg', 'https://pbs.twimg.com/media/Fh6xr20aYAQjFE5.jpg']"
2022-11-19 16:28:51,2022-Nov-19,16:28:51,16.28 WIB. Kondisi lalu lintas simpang Tugu arus kendaraan terpantau Ramai dari semua arah.  ,https://twitter.com/ATCS_DISHUB_DIY/status/1593899091314241537,"['https://pbs.twimg.com/media/Fh6qauHaMAEyOiJ.jpg', 'https://pbs.twimg.com/media/Fh6qauSaUAACX1T.jpg', 'https://pbs.twimg.com/media/Fh6qauGagAADE54.jpg', 'https://pbs.twimg.com/media/Fh6qauSaAAAu6sb.jpg']"
2022-11-19 16:09:04,2022-Nov-19,16:09:04,"16.08 WIB. Kondisi lalu lintas simpang Gamping arus kendaraan dari arah Timur dan Barat terpantau Ramai, dan dari arah Selatan terpantau Lancar.  ",https://twitter.com/ATCS_DISHUB_DIY/status/1593894113048682496,"['https://pbs.twimg.com/media/Fh6mCcMaAAACagc.jpg', 'https://pbs.twimg.com/media/Fh6mCdBagAoTSkX.jpg', 'https://pbs.twimg.com/media/Fh6mCdBagAs2TLx.jpg']"
2022-11-19 16:07:05,2022-Nov-19,16:07:05,"16.06 WIB. Kondisi lalu lintas simpang Pelem Gurih dari arah Timur dan Selatan terpantau Ramai, dari arah Utara dan Barat terpantau Ramai Lancar.  ",https://twitter.com/ATCS_DISHUB_DIY/status/1593893614962487296,"['https://pbs.twimg.com/media/Fh6lZ4facAECvyM.jpg', 'https://pbs.twimg.com/media/Fh6lZ5nacAEBYiR.jpg', 'https://pbs.twimg.com/media/Fh6lZ5jaMAA2jey.jpg', 'https://pbs.twimg.com/media/Fh6lZ6JaMAAdrF3.jpg']"
2022-11-19 16:02:46,2022-Nov-19,16:02:46,"16.02 WIB. Kondisi lalu lintas simpang Kids Fun arus kendaraan dari arah Timur dan Barat terpantau Ramai, dari arah Utara dan Selatan terpantau Lancar.  ",https://twitter.com/ATCS_DISHUB_DIY/status/1593892528604205056,"['https://pbs.twimg.com/media/Fh6kgYraAAI8h3C.jpg', 'https://pbs.twimg.com/media/Fh6kgZHakAUDuMh.jpg', 'https://pbs.twimg.com/media/Fh6kgZeaEAYEqTc.jpg', 'https://pbs.twimg.com/media/Fh6kgZ7aUAIwvhn.jpg']"
