date,Date,Time,tweet,link,photos
2022-11-25 20:29:12,2022-Nov-25,20:29:12,20.28WIB Arus lalu lintas simpang Demangan dari kaki timur terpatnau ramai  ,https://twitter.com/ATCS_DISHUB_DIY/status/1596133907686371328,"['https://pbs.twimg.com/media/FiabPQFagAA_SEg.jpg', 'https://pbs.twimg.com/media/FiabP8kakAIXur8.jpg', 'https://pbs.twimg.com/media/FiabP9DaMAAFS0y.jpg']"
2022-11-25 20:27:25,2022-Nov-25,20:27:25,"20.26WIB Arus lalu lintas simpang Tugu terpantau ramai dari kaki timur, dari kaki utara dan barat terpantau lancar  ",https://twitter.com/ATCS_DISHUB_DIY/status/1596133458652590081,"['https://pbs.twimg.com/media/FiaayJQagAQkHb7.jpg', 'https://pbs.twimg.com/media/FiaazvyacAE9t0M.jpg', 'https://pbs.twimg.com/media/FiaazwfaYAEG2ds.jpg']"
2022-11-25 20:25:59,2022-Nov-25,20:25:59,20.24WIB Arus lalu lintas simpang Kidsfun malam ini lancar. Dihimbau berhati-hati saat melintas dikarenakan adanya genangan air yang belum surut di kaki timur.  ,https://twitter.com/ATCS_DISHUB_DIY/status/1596133096780632065,"['https://pbs.twimg.com/media/FiaaUMTaAAA4NG1.jpg', 'https://pbs.twimg.com/media/FiaaUMUaEAAOapU.jpg']"
2022-11-25 17:52:57,2022-Nov-25,17:52:57,17.52WIB Arus lalu lintas simpang Seturan ramai lancar  ,https://twitter.com/ATCS_DISHUB_DIY/status/1596094583037124610,"['https://pbs.twimg.com/media/FiZ3fUZaAAEnC4A.jpg', 'https://pbs.twimg.com/media/FiZ3fUZaAAAJq64.jpg', 'https://pbs.twimg.com/media/FiZ3fUmaYAIx__V.jpg', 'https://pbs.twimg.com/media/FiZ3fVXaAAYZUwS.jpg']"
2022-11-25 16:42:34,2022-Nov-25,16:42:34,16.42WIB Arus lalu lintas simpang Bandara ramai lancar  ,https://twitter.com/ATCS_DISHUB_DIY/status/1596076870042517508,"['https://pbs.twimg.com/media/FiZnY0XagAA43pm.jpg', 'https://pbs.twimg.com/media/FiZnY0-aUAE7njX.jpg', 'https://pbs.twimg.com/media/FiZnZZOaYAACLGU.jpg']"
2022-11-25 16:42:07,2022-Nov-25,16:42:07,16.41WIB Arus lalu lintas simpang Maguwo ramai lancar  ,https://twitter.com/ATCS_DISHUB_DIY/status/1596076758125903872,"['https://pbs.twimg.com/media/FiZnSLwaMAA73Hu.jpg', 'https://pbs.twimg.com/media/FiZnSMbaUAE4Nc_.jpg', 'https://pbs.twimg.com/media/FiZnSNSaUAEwU0K.jpg']"
2022-11-25 16:40:07,2022-Nov-25,16:40:07,16.39WIB Arus lalu lintas simpang Blok O ramai  ,https://twitter.com/ATCS_DISHUB_DIY/status/1596076255186923520,"['https://pbs.twimg.com/media/FiZm2x-akAAKaGP.jpg', 'https://pbs.twimg.com/media/FiZm2yHaUAAR7Bz.jpg', 'https://pbs.twimg.com/media/FiZm2yEaUAAwzCH.jpg', 'https://pbs.twimg.com/media/FiZm2yFagAAC4lv.jpg']"
2022-11-25 16:26:23,2022-Nov-25,16:26:23,16.24 WIB. Situasi lalin di SImpang Seturan arus kendaraan dari arah Selatan terpantau ramai cenderung padat merayap dan dari arah lainnya terpantau ramai lancar. Jaga jarak aman kendaraan dan konsentrasi  ,https://twitter.com/ATCS_DISHUB_DIY/status/1596072798593507328,"['https://pbs.twimg.com/media/FiZjVa5VIAA5Dgp.jpg', 'https://pbs.twimg.com/media/FiZjVa3UUAMocET.jpg']"
2022-11-25 15:12:18,2022-Nov-25,15:12:18,15.11WIB Arus lalu lintas sipang Gramedia ramai lancar  ,https://twitter.com/ATCS_DISHUB_DIY/status/1596054154484801536,"['https://pbs.twimg.com/media/FiZSskbaUAEeArh.jpg', 'https://pbs.twimg.com/media/FiZSsk_aYAAE8le.jpg']"
2022-11-25 15:11:41,2022-Nov-25,15:11:41,15.11WIB Arus lalu lintas simpang Demangan ramai  ,https://twitter.com/ATCS_DISHUB_DIY/status/1596054001623396354,"['https://pbs.twimg.com/media/FiZSk9laAAEsGNn.jpg', 'https://pbs.twimg.com/media/FiZSk9nakAA60ME.jpg', 'https://pbs.twimg.com/media/FiZSk9uaUAAp-Jp.jpg']"
2022-11-25 07:37:21,2022-Nov-25,07:37:21,07.36 wib. Kondisi lalin disimpang Kids Fun terpantau ramai lancar dari arah timur  ,https://twitter.com/ATCS_DISHUB_DIY/status/1595939661226340352,['https://pbs.twimg.com/media/FiXqqYcakAA_dTD.jpg']
