date,Date,Time,tweet,link,photos
2022-11-12 11:50:23,2022-Nov-12,11:50:23,"11.50 wib arus lalin sp seturan arah timur,barat dan selatan terpantau ramai lancar  ",https://twitter.com/ATCS_DISHUB_DIY/status/1591292299488931840,"['https://pbs.twimg.com/media/FhVnyqgaEAMX_ug.jpg', 'https://pbs.twimg.com/media/FhVnyq2akAER1jl.jpg', 'https://pbs.twimg.com/media/FhVn1iYaEAAZHz6.jpg']"
2022-11-12 11:49:24,2022-Nov-12,11:49:24,11.49 wib arus lalin sp gamping arah timur dan barat terpantau ramai  ,https://twitter.com/ATCS_DISHUB_DIY/status/1591292053262331904,"['https://pbs.twimg.com/media/FhVnisDaAAIgo21.jpg', 'https://pbs.twimg.com/media/FhVnjRoaUAEwEMi.jpg']"
2022-11-12 11:47:54,2022-Nov-12,11:47:54,11.47 wib lalin sp giwangan arah timur dan barat terpantau lancar  ,https://twitter.com/ATCS_DISHUB_DIY/status/1591291673363243009,"['https://pbs.twimg.com/media/FhVnQ0YaUAA9NvY.jpg', 'https://pbs.twimg.com/media/FhVnQ0PaMAM5zow.jpg']"
2022-11-12 09:19:07,2022-Nov-12,09:19:07,09.18 wib lalin sp wojo arah timur dan barat terpantau lancar  ,https://twitter.com/ATCS_DISHUB_DIY/status/1591254233160249346,"['https://pbs.twimg.com/media/FhVEnnHaYAAM9XA.jpg', 'https://pbs.twimg.com/media/FhVEnnkagAAZWCQ.jpg']"
2022-11-12 09:15:05,2022-Nov-12,09:15:05,09.14 wib lalin sp pelemgurih arah timur lancar arah selatan dan utara terpantau ramai lancar  ,https://twitter.com/ATCS_DISHUB_DIY/status/1591253215441747968,"['https://pbs.twimg.com/media/FhVEMuVaMAAKODZ.jpg', 'https://pbs.twimg.com/media/FhVEMu4akAUZkVe.jpg', 'https://pbs.twimg.com/media/FhVEO9faUAAyFj-.jpg']"
2022-11-12 09:13:41,2022-Nov-12,09:13:41,09.13 wib lalin sp seturan arah timur lancar arah barat terpantau ramai lancar  ,https://twitter.com/ATCS_DISHUB_DIY/status/1591252862499422209,"['https://pbs.twimg.com/media/FhVD4WoagAA3iz9.jpg', 'https://pbs.twimg.com/media/FhVD4WracAAw04C.jpg']"
2022-11-12 07:56:19,2022-Nov-12,07:56:19,07.56 wib arus lalin sp condongcatur terpantau lancar dari semua arah  ,https://twitter.com/ATCS_DISHUB_DIY/status/1591233392930336768,"['https://pbs.twimg.com/media/FhUyOIgakAAXVcP.jpg', 'https://pbs.twimg.com/media/FhUyOuvaMAECrkU.jpg', 'https://pbs.twimg.com/media/FhUyPUkaUAISGiu.jpg']"
2022-11-12 07:55:25,2022-Nov-12,07:55:25,07.55 wib lalin sp seturan terpantau lancar dari semua arah  ,https://twitter.com/ATCS_DISHUB_DIY/status/1591233166937067520,"['https://pbs.twimg.com/media/FhUyCp2aAAAYvHl.jpg', 'https://pbs.twimg.com/media/FhUyCqWaEAExsB1.jpg', 'https://pbs.twimg.com/media/FhUyDbEaMAAuT1k.jpg', 'https://pbs.twimg.com/media/FhUyDbmaEAEgmju.jpg']"
2022-11-12 07:53:45,2022-Nov-12,07:53:45,07.53 wib lalin sp demak ijo terpantau lancar  ,https://twitter.com/ATCS_DISHUB_DIY/status/1591232748592955393,"['https://pbs.twimg.com/media/FhUxpdpaUAAPsib.jpg', 'https://pbs.twimg.com/media/FhUxpeSaMAAU-C0.jpg', 'https://pbs.twimg.com/media/FhUxqD1akAE5RYV.jpg']"
2022-11-12 07:52:05,2022-Nov-12,07:52:05,07.51 wib lalin sp gamping arah timur lancar arah barat terpantau ramai lancar  ,https://twitter.com/ATCS_DISHUB_DIY/status/1591232329137422337,"['https://pbs.twimg.com/media/FhUxRs2aAAAVcZR.jpg', 'https://pbs.twimg.com/media/FhUxRt9aYAAOMOm.jpg']"
2022-11-12 07:51:05,2022-Nov-12,07:51:05,07.50 wib lalin sp giwangan arah timur ramai lancar arah barat terpantau lancar  ,https://twitter.com/ATCS_DISHUB_DIY/status/1591232076564791296,"['https://pbs.twimg.com/media/FhUxCC6agAMiyDF.jpg', 'https://pbs.twimg.com/media/FhUxC8kacAMNkz-.jpg']"
