date,Date,Time,tweet,link,photos
2022-11-14 14:56:09,2022-Nov-14,14:56:09,14.55 wib lalin sp uin arah timur lancar arah barat terpantau ramai lancar  ,https://twitter.com/ATCS_DISHUB_DIY/status/1592063822982156289,"['https://pbs.twimg.com/media/FhglfwCaUAArvIQ.jpg', 'https://pbs.twimg.com/media/FhglgyhaYAAuFYM.jpg']"
2022-11-14 14:53:00,2022-Nov-14,14:53:00,14.52 wib arus lalin sp tugu arah timur ramai arah barat terpantau lancar  ,https://twitter.com/ATCS_DISHUB_DIY/status/1592063031844171778,"['https://pbs.twimg.com/media/FhgkoKMaYAIxRpY.jpg', 'https://pbs.twimg.com/media/Fhgky9VaAAEZbG4.jpg']"
2022-11-14 11:28:59,2022-Nov-14,11:28:59,11.28WIB Arus lalu linta simpang Condongcatur lancar  ,https://twitter.com/ATCS_DISHUB_DIY/status/1592011687817015296,"['https://pbs.twimg.com/media/Fhf2IuLaMAAg5VW.jpg', 'https://pbs.twimg.com/media/Fhf2IuTacAIdRkW.jpg', 'https://pbs.twimg.com/media/Fhf2IuJaMAEqlG-.jpg']"
2022-11-14 08:59:18,2022-Nov-14,08:59:18,08.59WIB Arus lalu lintas simpang Giwangan lancar  ,https://twitter.com/ATCS_DISHUB_DIY/status/1591974020093988865,"['https://pbs.twimg.com/media/FhfTwkDakAAPSEn.jpg', 'https://pbs.twimg.com/media/FhfTwkCakAEucam.jpg', 'https://pbs.twimg.com/media/FhfTwj_agAAiHaH.jpg', 'https://pbs.twimg.com/media/FhfT4AHaAAEhNwx.jpg']"
2022-11-14 08:58:53,2022-Nov-14,08:58:53,08.58 WIB. Kondisi lalu lintas simpang Patran dari Arah Timur terpantau Ramai Lancar dari arah selainnya terpantau Lancar.  ,https://twitter.com/ATCS_DISHUB_DIY/status/1591973913873252353,"['https://pbs.twimg.com/media/FhfTuuZagAAJ4TU.jpg', 'https://pbs.twimg.com/media/FhfTuubakAAKM7V.jpg', 'https://pbs.twimg.com/media/FhfTuu3aEAAV7Hs.jpg', 'https://pbs.twimg.com/media/FhfTuvFagAAmOJ6.jpg']"
2022-11-14 08:57:52,2022-Nov-14,08:57:52,08.57 WIB. Situasi lalin di Simpang Brosot (Kulonprogo)terpantau LANCAR dari semua arah/kaki  ,https://twitter.com/ATCS_DISHUB_DIY/status/1591973660906356736,"['https://pbs.twimg.com/media/FhfTalQaUAAj8jI.jpg', 'https://pbs.twimg.com/media/FhfTalXacAEzkeH.jpg']"
2022-11-14 08:56:04,2022-Nov-14,08:56:04,08.55 WIB. Kondisi lalu lintas Simpang MM UGM arus kendaraan terpantau lancar dari semua arah.  ,https://twitter.com/ATCS_DISHUB_DIY/status/1591973204624838661,"['https://pbs.twimg.com/media/FhfTFpFacAEYK-O.jpg', 'https://pbs.twimg.com/media/FhfTFpPaAAIkIih.jpg', 'https://pbs.twimg.com/media/FhfTFpnakAAbPFe.jpg', 'https://pbs.twimg.com/media/FhfTFpxacAA2uCb.jpg']"
2022-11-14 08:52:54,2022-Nov-14,08:52:54,08.52 WIB. Arus lalu lintas simpang Druwo terpantau Lancar  ,https://twitter.com/ATCS_DISHUB_DIY/status/1591972407920971776,"['https://pbs.twimg.com/media/FhfSbrWaMAE5AKo.jpg', 'https://pbs.twimg.com/media/FhfSbrKaMAEnk3s.jpg', 'https://pbs.twimg.com/media/FhfSbrJagAEKNE5.jpg', 'https://pbs.twimg.com/media/FhfSbrJaEAAMVpy.jpg']"
2022-11-14 08:48:27,2022-Nov-14,08:48:27,08.47 WIB. Kondisi arus lalu lintas di Simpang Seturan terpantau ramai lancar.  ,https://twitter.com/ATCS_DISHUB_DIY/status/1591971291606966272,"['https://pbs.twimg.com/media/FhfRbyIakAM94MD.jpg', 'https://pbs.twimg.com/media/FhfRbyKacAEIl53.jpg', 'https://pbs.twimg.com/media/FhfRbyVagAAl-IC.jpg', 'https://pbs.twimg.com/media/FhfRbyNakAEhCPu.jpg']"
2022-11-14 08:46:33,2022-Nov-14,08:46:33,"08.46 WIB. Kondisi simpang Bandara Adisutjipto dari arah Timur terpantau padat kendaraan dikarenakan adanya pekerjaan jalan, dari arah Barat dan Selatan terpantau Lancar.  ",https://twitter.com/ATCS_DISHUB_DIY/status/1591970809937276928,"['https://pbs.twimg.com/media/FhfQ8d3aAAAgymU.jpg', 'https://pbs.twimg.com/media/FhfQ8eCaAAA9LXY.jpg', 'https://pbs.twimg.com/media/FhfQ8eDaEAAQpwE.jpg']"
