date,Date,Time,tweet,link,photos
2022-11-22 19:37:32,2022-Nov-22,19:37:32,19.36WIB Arus lalu lintas simpang Jati Kencana terpantau lancar  ,https://twitter.com/ATCS_DISHUB_DIY/status/1595033738349809665,"['https://pbs.twimg.com/media/FiKyj2AacAAYcqg.jpg', 'https://pbs.twimg.com/media/FiKyj2qacAEPKBn.jpg', 'https://pbs.twimg.com/media/FiKyuQJaAAUuV-d.jpg']"
2022-11-22 19:36:38,2022-Nov-22,19:36:38,19.36WIB Arus lalu lintas simpang Tugu lancar  ,https://twitter.com/ATCS_DISHUB_DIY/status/1595033513556082688,"['https://pbs.twimg.com/media/FiKydb3acAIu_i6.jpg', 'https://pbs.twimg.com/media/FiKydcDaYAAEAhR.jpg', 'https://pbs.twimg.com/media/FiKydcBagAAtdg6.jpg']"
2022-11-22 19:20:26,2022-Nov-22,19:20:26,19.20WIB Arus lalu lintas simpang Blok O lancar  ,https://twitter.com/ATCS_DISHUB_DIY/status/1595029436986200069,"['https://pbs.twimg.com/media/FiKuvl1aUAA2VDd.jpg', 'https://pbs.twimg.com/media/FiKuvl-akAEbn5s.jpg', 'https://pbs.twimg.com/media/FiKuvmCaEAASq4q.jpg', 'https://pbs.twimg.com/media/FiKuvl2acAMzUBf.jpg']"
2022-11-22 18:27:03,2022-Nov-22,18:27:03,18.26WIB Arus lalu lintas simpang Demangan ramai lancar  ,https://twitter.com/ATCS_DISHUB_DIY/status/1595016001988755458,"['https://pbs.twimg.com/media/FiKiicTaUAEL0MU.jpg', 'https://pbs.twimg.com/media/FiKiicyacAEChec.jpg', 'https://pbs.twimg.com/media/FiKiiddaUAAs0jI.jpg']"
2022-11-22 18:26:40,2022-Nov-22,18:26:40,18.26WIB Arus lalu lintas simpang MM UGM terpantau lancar  ,https://twitter.com/ATCS_DISHUB_DIY/status/1595015905540730880,"['https://pbs.twimg.com/media/FiKicLxaAAAhrpL.jpg', 'https://pbs.twimg.com/media/FiKicLmaMAAqiLY.jpg', 'https://pbs.twimg.com/media/FiKicMYaMAAfrZQ.jpg', 'https://pbs.twimg.com/media/FiKicNMaYAAVrRM.jpg']"
2022-11-22 18:01:08,2022-Nov-22,18:01:08,18.00 WIB. Situasi lalin di SImpang Condongcatur arus kendaraan terpantau RAMAI dari semua arah/kaki  ,https://twitter.com/ATCS_DISHUB_DIY/status/1595009478529024001,"['https://pbs.twimg.com/media/FiKchzNaAAEOiID.jpg', 'https://pbs.twimg.com/media/FiKci2oagAEzjMB.jpg', 'https://pbs.twimg.com/media/FiKci3CakAEtWBf.jpg']"
2022-11-22 15:35:02,2022-Nov-22,15:35:02,15.33 WIB Kondisi Lalu Lintas di Simpang Blok O terpantau Ramai lancar di semu arah.  ,https://twitter.com/ATCS_DISHUB_DIY/status/1594972711977377792,"['https://pbs.twimg.com/media/FiJ7OZqakAAvq36.jpg', 'https://pbs.twimg.com/media/FiJ7OZ0aMAATij4.jpg', 'https://pbs.twimg.com/media/FiJ7OZ1aMAAs6Ae.jpg', 'https://pbs.twimg.com/media/FiJ7OZ1agAAyZMM.jpg']"
