Date,Year,Month,Day,Waktu,Dari,Arah,Kondisi,Tweet,Hambatan,link,photos
2022-Sep-28,2022,September,Wednesday,08:33:20,Maguwoharjo,Barat,lancar,08.33 wib kondisi lalin sp maguwo arah barat terpantau lancar  ,-,https://twitter.com/ATCS_DISHUB_DIY/status/1574935257295757313,['https://pbs.twimg.com/media/FdtLLidaUAAcKYn.jpg']
2022-Sep-28,2022,September,Wednesday,08:32:47,Bandara,Timur,ramai lancar,08.32 wib lalin sp bandara arah timur terpantau ramai lancar  ,-,https://twitter.com/ATCS_DISHUB_DIY/status/1574935115368890370,['https://pbs.twimg.com/media/FdtLE7UaUAAmEHa.jpg']
2022-Sep-28,2022,September,Wednesday,07:00:10,Seturan,"Timur, Selatan, Utara",lancar,"06.59 wib lalin sp seturan terpantau ramai dari arah timur,selatan dan utara arah barat terpantau lancar  ",-,https://twitter.com/ATCS_DISHUB_DIY/status/1574911808330412032,"['https://pbs.twimg.com/media/Fds1juXaAAAAIvM.jpg', 'https://pbs.twimg.com/media/Fds1kwTaAAAyrX7.jpg', 'https://pbs.twimg.com/media/Fds1kw_acAAlKZ0.jpg', 'https://pbs.twimg.com/media/Fds1kx9aIAAmVOg.jpg']"
2022-Sep-28,2022,September,Wednesday,06:57:32,Gramedia,"Timur, Barat",ramai lancar,06.57 wib lalin sp gramedia arah timur dan barat ramai lancar arah selatan dan utara terpantau lancar  ,-,https://twitter.com/ATCS_DISHUB_DIY/status/1574911148297945089,"['https://pbs.twimg.com/media/Fds1DRaaMAABc3m.jpg', 'https://pbs.twimg.com/media/Fds1DR8aAAAHDIf.jpg', 'https://pbs.twimg.com/media/Fds1PBYakAAXb2f.jpg', 'https://pbs.twimg.com/media/Fds1PCBacAAhm4g.jpg']"
2022-Sep-28,2022,September,Wednesday,06:56:09,Demangan,Selatan,ramai lancar,06.55 wib lalin sp demangan arah selatan ramai lancar arah utara terpantau lancar  ,-,https://twitter.com/ATCS_DISHUB_DIY/status/1574910796655915008,"['https://pbs.twimg.com/media/Fds07gzacAAA_Uj.jpg', 'https://pbs.twimg.com/media/Fds08cGacAABjxM.jpg']"
2022-Sep-28,2022,September,Wednesday,06:54:49,Tugu,Timur,ramai lancar,06.54 wib lalin sp tugu arah timur ramai arah barat dan utara terpantau ramai lancar  ,-,https://twitter.com/ATCS_DISHUB_DIY/status/1574910461468119040,"['https://pbs.twimg.com/media/Fds0kTXaEAA90Xs.jpg', 'https://pbs.twimg.com/media/Fds0k9eaMAAFxo3.jpg', 'https://pbs.twimg.com/media/Fds0libaUAEQKS1.jpg']"
2022-Sep-28,2022,September,Wednesday,06:53:41,UIN,Timur,ramai lancar,06.53 wib arus lalin sp uin arah timur ramai arah barat terpantau ramai lancar  ,-,https://twitter.com/ATCS_DISHUB_DIY/status/1574910178910416897,"['https://pbs.twimg.com/media/Fds0YSKaIAA3lfK.jpg', 'https://pbs.twimg.com/media/Fds0Y4jaMAANTEh.jpg']"
2022-Sep-28,2022,September,Wednesday,06:52:57,Bandara,Timur,ramai lancar,06.52 wib arus lalin sp bandara arah timur terpantau ramai lancar  ,-,https://twitter.com/ATCS_DISHUB_DIY/status/1574909995178950657,['https://pbs.twimg.com/media/Fds0Ol6aEAAYAEg.jpg']
2022-Sep-27,2022,September,Tuesday,18:46:18,Demangan,"Timur, Utara",ramai lancar,18.46 wib lalin sp demangan arah timur dan utara ramai lancar arah selatan terpantau lancar  ,-,https://twitter.com/ATCS_DISHUB_DIY/status/1574727125248409600,"['https://pbs.twimg.com/media/FdqN4pTacAE5jsm.jpg', 'https://pbs.twimg.com/media/FdqN4pVaIAAYwUf.jpg', 'https://pbs.twimg.com/media/FdqN5XMagAMar6J.jpg']"
2022-Sep-27,2022,September,Tuesday,18:45:47,UIN,"Timur, Barat",ramai lancar,18.45 wib kondisi lalin sp uin arah timur dan barat terpantau ramai lancar  ,-,https://twitter.com/ATCS_DISHUB_DIY/status/1574726996638453760,"['https://pbs.twimg.com/media/FdqNi3haIAA79rj.jpg', 'https://pbs.twimg.com/media/FdqNpRqacAAbEhQ.jpg']"
